Name,State,AL,AK,AZ,AR,CA,CNMI,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VT,VA,VI,WA,WV,WI,WY,Calculated SARA Total,Calculated non-SARA Total,Grand Total
The University of Texas at San Antonio,TX,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,4,7,11
The University of Texas at Tyler,TX,2,3,5,4,26,0,6,2,3,0,16,9,2,3,3,3,4,0,2,15,3,5,2,3,3,1,2,0,0,1,1,6,2,8,7,0,6,9,0,2,0,0,5,1,6,0,2,0,6,0,3,0,2,2,152,45,197
The University of Texas Health Science Center at Houston,TX,0,0,2,0,2,0,0,5,0,3,0,2,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,25,2,27
The University of Texas Health Science - San Antonio,TX,0,0,0,1,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,7
The University of Texas MD Anderson Cancer Center,TX,0,0,0,0,0,0,1,4,0,0,0,2,1,0,7,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,1,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,28,0,28
The University of Texas Medical Branch,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The University of Texas of the Permian Basin,TX,0,1,7,0,12,0,3,0,0,0,7,3,1,1,1,1,0,2,0,6,0,1,1,2,0,0,0,1,1,2,0,2,15,4,7,0,0,5,0,3,0,0,2,1,4,0,0,0,1,0,3,1,1,0,82,20,102
The University of Texas Rio Grande Valley,TX,1,0,8,0,17,0,5,0,0,1,7,2,0,0,14,0,0,1,0,0,0,5,2,4,0,0,3,0,0,2,1,3,2,1,2,1,3,2,3,4,0,0,3,0,4,0,0,1,8,0,5,0,1,0,90,26,116
The University of the South,TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The University of Virginia's College at Wise,VA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,1,0,9,0,0,0,0,0,0,8,0,0,38,0,38
Thomas Edison State University,NJ,181,68,141,40,861,0,141,162,39,18,570,467,297,37,229,111,39,80,146,117,37,415,108,126,92,58,90,15,19,63,46,0,38,473,403,11,187,51,81,609,12,30,242,17,195,791,63,15,865,0,394,20,71,13,7843,1593,9436
Thomas Jefferson University,PA,0,0,3,0,10,0,2,4,10,0,7,1,0,0,2,3,0,1,2,0,0,6,7,2,0,0,1,1,0,2,0,151,0,11,1,0,8,0,2,0,0,1,1,0,0,3,0,0,5,0,3,0,2,0,228,25,253
Thomas More College,KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,0,28
Three Rivers Community College,CT,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,1,1,0,0,0,0,0,14,5,19
Tidewater Community College,VA,1,0,0,1,9,0,0,4,5,0,5,6,0,0,2,1,1,0,0,1,0,5,1,3,0,0,0,0,1,0,1,3,0,12,25,0,2,0,1,8,0,0,2,0,5,6,1,1,0,0,2,0,0,1,101,16,117
Tiffin University,OH,20,3,10,9,66,0,11,2,2,2,49,46,2,1,27,21,8,3,22,14,2,21,7,60,7,7,14,2,6,6,3,17,0,16,38,1,0,9,4,53,0,5,18,0,16,36,3,1,24,0,14,7,11,1,605,127,732
Tompkins-Cortland Community College,NY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,7
Touro College,NY,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,2,0,24,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,3,37
Towson University,MD,2,0,0,0,2,0,1,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,1,2,0,0,0,0,4,0,0,1,0,0,2,0,0,7,0,0,4,0,0,32,5,37
Trevecca Nazarene University,TN,14,0,0,5,12,0,0,0,1,1,17,26,0,4,6,4,0,3,14,1,0,1,0,2,0,8,3,0,0,0,0,0,0,4,9,2,7,3,0,2,0,0,11,0,0,11,0,2,5,0,1,4,0,0,154,32,186
Trident Technical College,SC,10,1,0,1,0,0,1,2,0,0,5,9,0,0,2,0,1,0,0,0,1,4,2,0,0,24,1,0,0,2,1,1,0,4,25,0,1,1,0,3,0,0,0,0,8,1,0,0,3,0,1,0,0,0,108,7,115
Trine University,IN,0,1,2,0,5,0,3,0,0,0,3,2,0,0,5,0,1,0,1,0,0,0,0,25,0,0,1,0,2,0,0,0,0,0,1,0,12,0,0,1,0,0,2,0,2,4,0,0,0,0,2,0,0,0,67,8,75
Trinidad State Junior College,CO,0,0,2,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,1,28,1,29
Trinity Episcopal School for Ministry,PA,0,0,0,0,6,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2,0,0,0,0,1,0,4,2,0,1,1,0,0,0,0,14,0,7,3,0,0,6,0,2,0,1,0,51,8,59
Trinity International University,IL,0,0,0,0,5,0,1,0,0,0,5,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,14,10,24
Trinity University,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
