UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW
444334,R,15,R,2,R,13,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,15,R,2,R,13,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0
444343,R,71,R,8,R,63,R,0,R,0,R,0,R,7,R,2,R,5,R,10,R,0,R,10,R,53,R,6,R,47,R,0,R,0,R,0,R,1,R,0,R,1,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,R,0,R,0
444361,R,104,R,33,R,71,R,1,R,0,R,1,R,1,R,1,R,0,R,10,R,8,R,2,R,18,R,5,R,13,R,2,R,1,R,1,R,71,R,17,R,54,R,1,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0
444370,R,81,R,80,R,1,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,81,R,80,R,1,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0
444398,R,34,R,17,R,17,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,28,R,13,R,15,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,6,R,4,R,2
444404,R,24,R,18,R,6,R,0,R,0,R,0,R,0,R,0,R,0,R,17,R,13,R,4,R,4,R,4,R,0,R,0,R,0,R,0,R,3,R,1,R,2,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
444413,R,26,R,26,R,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,26,R,26,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0
444422,R,66,R,3,R,63,R,0,R,0,R,0,R,7,R,2,R,5,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,59,R,1,R,58,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
444440,R,36,R,7,R,29,R,3,Z,0,R,3,R,3,R,1,R,2,R,3,Z,0,R,3,R,2,Z,0,R,2,R,0,Z,0,Z,0,R,25,R,6,R,19,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0
444468,R,18,R,1,R,17,R,0,Z,0,Z,0,R,1,Z,0,R,1,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,16,R,1,R,15,R,1,Z,0,R,1,R,0,Z,0,Z,0,R,0,Z,0,Z,0
444486,R,174,R,6,R,168,R,0,Z,0,Z,0,R,1,Z,0,R,1,R,60,R,4,R,56,R,10,Z,0,R,10,R,0,Z,0,Z,0,R,96,R,2,R,94,R,3,Z,0,R,3,R,4,Z,0,R,4,R,0,Z,0,Z,0
444510,R,24,R,1,R,23,R,0,R,0,R,0,R,1,R,0,R,1,R,1,R,0,R,1,R,9,R,1,R,8,R,0,R,0,R,0,R,12,R,0,R,12,R,0,R,0,R,0,R,1,R,0,R,1,R,0,R,0,R,0
444529,R,129,R,16,R,113,R,0,Z,0,Z,0,R,10,R,1,R,9,R,14,R,2,R,12,R,59,R,8,R,51,R,0,Z,0,Z,0,R,42,R,4,R,38,R,0,Z,0,Z,0,R,4,R,1,R,3,R,0,Z,0,Z,0
444547,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
444556,R,235,R,94,R,141,R,1,R,1,Z,0,R,1,Z,0,R,1,R,28,R,10,R,18,R,71,R,28,R,43,R,0,Z,0,Z,0,R,93,R,38,R,55,R,29,R,12,R,17,R,12,R,5,R,7,R,0,Z,0,Z,0
444565,R,145,R,55,R,90,R,0,Z,0,Z,0,R,14,R,6,R,8,R,29,R,11,R,18,R,66,R,23,R,43,R,0,Z,0,Z,0,R,33,R,15,R,18,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,3,Z,0,R,3
444583,R,475,R,246,R,229,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,475,R,246,R,229,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0
444592,R,70,R,4,R,66,R,0,R,0,R,0,R,0,R,0,R,0,R,16,R,0,R,16,R,38,R,1,R,37,R,0,R,0,R,0,R,2,R,1,R,1,R,0,R,0,R,0,R,14,R,2,R,12,R,0,R,0,R,0
444608,R,23,R,3,R,20,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,1,Z,0,R,1,R,2,Z,0,R,2,R,0,Z,0,Z,0,R,15,R,2,R,13,R,5,R,1,R,4,R,0,Z,0,Z,0,R,0,Z,0,Z,0
